,No,MD (All Wells) (ft),TVD (ft),Bot-Hole direction (N/S)/(E/W),Bot-Hole Easting (NAD83),Bot-Hole Northing (NAD83),Total Proppant Placed (tonne),Avg Proppant Placed per Stage (tonne),Total Fluid Pumped (m3),Avg Fluid Pumped per Stage (m3),Stages Actual,Completed Length (m),Avg Frac Spacing (m),Load Fluid Rec (m3),Load Fluid (m3),Avg Fluid Pumped / Meter (m3),Avg Proppant Placed / Meter (tonne),Proppant Size 1,Avg Proppant 1 Placed (tonne),Total Proppant 1 Placed (tonne),Total Ceramic Proppant Placed (tonne),Total Sand Proppant Placed (tonne),Y_first6,SF_oil,SF_water,SF_slickwater,PC_ceramic,PC_sand
0,354,15384,10746,0.583086681,0.5207013429999999,0.20239278800000002,1197.61,66.53,3214.7,178.59,18,1249.6,73.5,1148.37,3248.3,2.57,0.96,40.0,35.48,638.7,638.7,558.91,99580.58333,1,0,0,1,0
1,372,20167,10440,1.059931507,0.40292732200000003,0.242268801,4212.32,117.01,9727.2,270.2,36,2711.9,77.41,1604.27,11438.43,3.59,1.55,60.0,13.8,496.97,496.97,3715.35,82942.66667,0,1,0,1,0
2,383,18832,10745,1.913723219,0.35115139700000003,0.27438054,5131.4,95.03,52997.8,981.44,54,2275.37,42.88,914.98,52997.8,23.29,2.26,55.0,95.03,5131.4,0.0,5131.4,55833.66667000001,0,1,0,0,1
3,395,20243,10884,0.18548094399999998,0.23101385300000002,0.305237294,3044.0,49.9,42791.76,701.5,61,2687.2,43.04,0.0,51059.6,15.92,1.13,55.0,49.9,3044.0,0.0,3044.0,95592.08333,0,1,0,0,1
4,397,19085,10916,0.432909605,0.214300955,0.306794685,5374.0,99.52,50769.92,940.18,54,2351.45,42.7,0.0,53236.05,21.59,2.29,55.0,99.09,5351.0,0.0,5374.0,104730.3333,0,1,0,0,1
5,399,19767,10767,0.178125,0.22451826800000002,0.304080591,2472.12,44.95,45146.39,820.84,55,2395.89,42.73,111.07,48556.8,18.84,1.03,55.0,38.21,2101.42,0.0,2472.12,48715.08333,0,1,0,0,1
6,401,18478,10766,0.8270481140000001,0.206200965,0.307233174,3940.64,80.42,49311.03,1006.35,49,2205.69,42.36,256.58,51489.1,22.36,1.79,100.0,8.58,420.3,0.0,3940.64,95971.75,0,1,0,0,1
7,449,15817,9949,1.166666667,0.720066146,0.407269085,2779.73,120.86,3834.6,166.72,23,1755.84,78.1,966.53,3941.97,2.18,1.58,60.0,15.67,360.35,360.35,2419.38,110092.25,0,1,0,1,0
8,451,17936,10039,0.299915278,0.778961363,0.422189042,4340.0,108.5,28424.23,710.61,40,2235.3,56.75,0.0,30370.1,12.72,1.94,55.0,108.5,4340.0,0.0,4340.0,52675.91667,0,1,0,0,1
9,467,17992,9880,0.362865948,0.7834668290000001,0.42613922,3945.0,75.87,32727.19,629.37,52,2290.1,43.76,269.03,34745.2,14.29,1.72,100.0,0.19,10.0,0.0,3945.0,43894.08333,0,1,0,0,1
10,469,18448,10156,0.356667554,0.781718806,0.425330284,4493.0,78.82,34121.6,598.62,57,2393.3,42.48,0.0,36144.5,14.26,1.88,100.0,0.09,5.0,0.0,4493.0,18378.66667,0,1,0,0,1
11,475,17969,10010,0.41787090600000004,0.786765913,0.429775653,4340.0,108.5,28258.22,706.46,40,2240.3,52.6,0.0,30145.1,12.61,1.94,100.0,0.08,3.0,0.0,4340.0,58240.083329999994,0,1,0,0,1
12,485,17178,9645,0.616921879,0.850092735,0.435918275,3831.0,34.51,31291.2,281.9,111,2076.74,18.53,0.0,31291.2,15.07,1.84,55.0,34.51,3831.0,0.0,3831.0,40747.83333,0,1,0,0,1
13,490,17034,9436,0.634314191,0.8546597509999999,0.439233401,4011.8,34.58,30094.9,259.44,116,2144.5,18.79,0.0,30094.9,14.03,1.87,55.0,34.58,4011.8,0.0,4011.8,29281.75,0,1,0,0,1
14,492,17329,9584,0.55993398,0.862583298,0.439539587,4217.5,34.57,31518.9,258.35,122,2258.7,18.8,0.0,31518.9,13.95,1.87,55.0,34.57,4217.5,0.0,4217.5,41352.58333,0,1,0,0,1
