,Unnamed: 0,No,PRICE ($),Per Month Operation Cost ($),Y_t,J_t,ID index,time,X_t,normal,J_t_pred,Interpolated X_t
0,0,724,292000,30000,121695.0,777.0,0,17,156.62162162162159,0,1714.25,213.20666983670745
1,1,724,292000,30000,234462.0,1259.0,0,18,186.2287529785544,1,1714.25,186.2287529785544
2,2,724,292000,30000,285696.0,1794.0,0,19,159.25083612040137,1,1714.25,159.25083612040137
3,3,724,292000,30000,216567.0,1070.0,0,20,202.3990654205608,1,1714.25,202.3990654205608
4,4,724,292000,30000,186633.0,1532.0,0,21,121.82310704960837,1,1714.25,121.82310704960838
5,5,724,292000,30000,63690.0,1971.0,0,22,32.31354642313546,1,1714.25,32.31354642313545
6,6,724,292000,30000,63495.0,584.0,0,23,108.72431506849315,0,1714.25,25.731256632999745
7,7,724,292000,30000,39849.0,2081.0,0,24,19.148966842864013,1,1714.25,19.14896684286402
8,8,724,292000,30000,29688.0,2063.0,0,25,14.390693165293262,1,1714.25,14.390693165293264
9,9,724,292000,30000,38481.0,1944.0,0,26,19.794753086419753,1,1714.25,19.794753086419753
10,10,727,931000,50000,114879.0,781.0,1,11,147.09218950064022,0,2067.222222222222,260.5262768254528
11,11,727,931000,50000,331296.0,1595.0,1,12,207.70909090909092,1,2067.222222222222,207.7090909090909
12,12,727,931000,50000,319542.0,2063.0,1,13,154.89190499272902,1,2067.222222222222,154.891904992729
13,13,727,931000,50000,222306.0,1959.0,1,14,113.47932618683002,1,2067.222222222222,113.47932618683002
14,14,727,931000,50000,158853.0,2140.0,1,15,74.23037383177571,1,2067.222222222222,74.2303738317757
15,15,727,931000,50000,147339.0,2156.0,1,16,68.33905380333952,1,2067.222222222222,68.33905380333952
16,16,727,931000,50000,117852.0,2194.0,1,17,53.71558796718322,1,2067.222222222222,53.715587967183225
17,17,727,931000,50000,97767.0,2181.0,1,18,44.826685006877575,1,2067.222222222222,44.82668500687757
18,18,727,931000,50000,95187.0,2140.0,1,19,44.47990654205607,1,2067.222222222222,44.47990654205607
19,19,727,931000,50000,90135.0,2177.0,1,20,41.40330730362885,1,2067.222222222222,41.40330730362885
20,20,729,955000,50000,428502.0,573.0,2,23,747.8219895287958,0,1746.25,325.4548230454048
21,21,729,955000,50000,401553.0,1599.0,2,24,251.12757973733585,1,1746.25,251.12757973733585
22,22,729,955000,50000,966543.0,1121.0,2,25,862.2149866190903,0,1746.25,176.8003364292669
23,23,729,955000,50000,218985.0,2137.0,2,26,102.47309312119795,1,1746.25,102.47309312119796
