,Unnamed: 0,No,CPA Pretty Well ID,Reference (KB) Elev. (ft),Ground Elevation (ft),MD (All Wells) (ft),TVD (ft),Bot-Hole direction (N/S)/(E/W),Bot-Hole Easting (NAD83),Bot-Hole Northing (NAD83),Stimulation Fluid,Total Proppant Placed (tonne),Avg Proppant Placed per Stage (tonne),Total Fluid Pumped (m3),Avg Fluid Pumped per Stage (m3),Stages Actual,Completed Length (m),Avg Frac Spacing (m),Load Fluid Rec (m3),Load Fluid (m3),Avg Fluid Pumped / Meter (m3),Avg Proppant Placed / Meter (tonne),Proppant Composition,Proppant Name 1,Proppant Size 1,Avg Proppant 1 Placed (tonne),Total Proppant 1 Placed (tonne),Total Ceramic Proppant Placed (tonne),Total Sand Proppant Placed (tonne),Y_first6,Y_last6,Y_t,C_t,J_t,time,Outlier J_t,X_t,Outlier X_t
0,48,1,1,2908,2888,20325,10015,0.834537847,0.824660244,0.006074581,Slickwater,5821.72,145.54,40553.7,1013.84,40,2947.7,75.56,2295.07,41017.91,13.76,1.98,Sand,Sand,40/70,145.54,5821.72,0.0,5821.72,99180.33333,40612.5,129303.0,1323.0,600.0,6,0,215.505,0
1,48,1,1,2908,2888,20325,10015,0.834537847,0.824660244,0.006074581,Slickwater,5821.72,145.54,40553.7,1013.84,40,2947.7,75.56,2295.07,41017.91,13.76,1.98,Sand,Sand,40/70,145.54,5821.72,0.0,5821.72,99180.33333,40612.5,162132.0,0.0,744.0,7,0,217.91935483870967,0
2,48,1,1,2908,2888,20325,10015,0.834537847,0.824660244,0.006074581,Slickwater,5821.72,145.54,40553.7,1013.84,40,2947.7,75.56,2295.07,41017.91,13.76,1.98,Sand,Sand,40/70,145.54,5821.72,0.0,5821.72,99180.33333,40612.5,126960.0,27102.0,681.0,8,0,186.43171806167402,0
3,48,1,1,2908,2888,20325,10015,0.834537847,0.824660244,0.006074581,Slickwater,5821.72,145.54,40553.7,1013.84,40,2947.7,75.56,2295.07,41017.91,13.76,1.98,Sand,Sand,40/70,145.54,5821.72,0.0,5821.72,99180.33333,40612.5,118344.0,22209.0,600.0,9,0,197.24,0
4,48,1,1,2908,2888,20325,10015,0.834537847,0.824660244,0.006074581,Slickwater,5821.72,145.54,40553.7,1013.84,40,2947.7,75.56,2295.07,41017.91,13.76,1.98,Sand,Sand,40/70,145.54,5821.72,0.0,5821.72,99180.33333,40612.5,123348.0,17874.0,716.0,10,0,172.27374301675977,0
5,48,1,1,2908,2888,20325,10015,0.834537847,0.824660244,0.006074581,Slickwater,5821.72,145.54,40553.7,1013.84,40,2947.7,75.56,2295.07,41017.91,13.76,1.98,Sand,Sand,40/70,145.54,5821.72,0.0,5821.72,99180.33333,40612.5,110403.0,13764.0,701.0,11,0,157.49358059914408,0
6,48,1,1,2908,2888,20325,10015,0.834537847,0.824660244,0.006074581,Slickwater,5821.72,145.54,40553.7,1013.84,40,2947.7,75.56,2295.07,41017.91,13.76,1.98,Sand,Sand,40/70,145.54,5821.72,0.0,5821.72,99180.33333,40612.5,97038.0,10518.0,648.0,12,0,149.75,0
7,48,1,1,2908,2888,20325,10015,0.834537847,0.824660244,0.006074581,Slickwater,5821.72,145.54,40553.7,1013.84,40,2947.7,75.56,2295.07,41017.91,13.76,1.98,Sand,Sand,40/70,145.54,5821.72,0.0,5821.72,99180.33333,40612.5,82473.0,10458.0,657.0,13,0,125.5296803652968,0
8,48,1,1,2908,2888,20325,10015,0.834537847,0.824660244,0.006074581,Slickwater,5821.72,145.54,40553.7,1013.84,40,2947.7,75.56,2295.07,41017.91,13.76,1.98,Sand,Sand,40/70,145.54,5821.72,0.0,5821.72,99180.33333,40612.5,81354.0,9618.0,677.0,14,0,120.16838995568685,0
9,48,1,1,2908,2888,20325,10015,0.834537847,0.824660244,0.006074581,Slickwater,5821.72,145.54,40553.7,1013.84,40,2947.7,75.56,2295.07,41017.91,13.76,1.98,Sand,Sand,40/70,145.54,5821.72,0.0,5821.72,99180.33333,40612.5,80334.0,7905.0,710.0,15,0,113.14647887323943,0
10,48,1,1,2908,2888,20325,10015,0.834537847,0.824660244,0.006074581,Slickwater,5821.72,145.54,40553.7,1013.84,40,2947.7,75.56,2295.07,41017.91,13.76,1.98,Sand,Sand,40/70,145.54,5821.72,0.0,5821.72,99180.33333,40612.5,75747.0,7479.0,734.0,16,0,103.1975476839237,0
11,48,1,1,2908,2888,20325,10015,0.834537847,0.824660244,0.006074581,Slickwater,5821.72,145.54,40553.7,1013.84,40,2947.7,75.56,2295.07,41017.91,13.76,1.98,Sand,Sand,40/70,145.54,5821.72,0.0,5821.72,99180.33333,40612.5,70500.0,6918.0,720.0,17,0,97.91666666666667,0
12,48,1,1,2908,2888,20325,10015,0.834537847,0.824660244,0.006074581,Slickwater,5821.72,145.54,40553.7,1013.84,40,2947.7,75.56,2295.07,41017.91,13.76,1.98,Sand,Sand,40/70,145.54,5821.72,0.0,5821.72,99180.33333,40612.5,65016.0,6429.0,660.0,18,0,98.50909090909092,0
