,Unnamed: 0,No,Y_first6,Y_last6,Y_t,J_t,ID index,time,X_t,normal,Interpolated X_t
0,0,1,99180.33333,40612.5,770490.0,4044.0,0,1,190.526706231454,1,190.526706231454
1,1,1,99180.33333,40612.5,487446.0,4148.0,0,2,117.51350048216007,1,117.51350048216007
2,2,1,99180.33333,40612.5,358656.0,4160.0,0,3,86.21538461538462,1,86.21538461538461
3,3,1,99180.33333,40612.5,297204.0,4408.0,0,4,67.42377495462793,1,67.42377495462793
4,4,1,99180.33333,40612.5,253764.0,4083.0,0,5,62.151359294636286,1,62.15135929463628
5,5,1,99180.33333,40612.5,243675.0,3916.0,0,6,62.22548518896834,1,62.22548518896834
6,6,3,102906.3333,28682.0,774300.0,3415.0,1,1,226.73499267935574,1,226.73499267935574
7,7,3,102906.3333,28682.0,531546.0,4177.0,1,2,127.25544649269811,1,127.25544649269811
8,8,3,102906.3333,28682.0,368811.0,4303.0,1,3,85.71020218452244,1,85.71020218452244
9,9,3,102906.3333,28682.0,273174.0,4314.0,1,4,63.32267037552156,1,63.32267037552157
10,10,3,102906.3333,28682.0,202482.0,4222.0,1,5,47.95878730459498,1,47.95878730459498
11,11,3,102906.3333,28682.0,172092.0,3661.0,1,6,47.00682873531822,1,47.00682873531822
12,12,5,85081.0,26751.5,857217.0,2949.0,2,1,290.68056968463884,1,290.68056968463884
13,13,5,85081.0,26751.5,388653.0,4167.0,2,2,93.26925845932324,1,93.26925845932323
14,14,5,85081.0,26751.5,228519.0,4204.0,2,3,54.357516650808755,1,54.35751665080876
15,15,5,85081.0,26751.5,94491.0,2886.0,2,4,32.741164241164235,1,32.74116424116423
16,16,5,85081.0,26751.5,138783.0,4002.0,2,5,34.6784107946027,1,34.6784107946027
17,17,5,85081.0,26751.5,160509.0,4107.0,2,6,39.081811541271,1,39.081811541271
18,18,7,74719.91667,24597.0,712320.0,3611.0,3,1,197.26391581279427,1,197.26391581279427
19,19,7,74719.91667,24597.0,314316.0,4153.0,3,2,75.6840837948471,1,75.6840837948471
20,20,7,74719.91667,24597.0,226746.0,3831.0,3,3,59.18715740015662,1,59.18715740015662
21,21,7,74719.91667,24597.0,138933.0,3099.0,3,4,44.83155856727978,1,44.83155856727978
22,22,7,74719.91667,24597.0,143712.0,3999.0,3,5,35.936984246061506,1,35.93698424606151
23,23,7,74719.91667,24597.0,147582.0,3819.0,3,6,38.644147682639435,1,38.644147682639435
24,24,9,95972.0,22686.5,816201.0,3699.0,4,1,220.654501216545,1,220.654501216545
25,25,9,95972.0,22686.5,481392.0,4241.0,4,2,113.50907804763027,1,113.50907804763027
26,26,9,95972.0,22686.5,230301.0,4176.0,4,3,55.14870689655172,1,55.14870689655173
27,27,9,95972.0,22686.5,213309.0,3682.0,4,4,57.932916892992935,1,57.932916892992935
28,28,9,95972.0,22686.5,160140.0,3926.0,4,5,40.78960774325013,1,40.78960774325013
29,29,9,95972.0,22686.5,136119.0,3810.0,4,6,35.72677165354331,1,35.72677165354331
30,30,11,101547.0,16909.0,865317.0,3793.0,5,1,228.13524914315846,1,228.13524914315846
31,31,11,101547.0,16909.0,469197.0,4237.0,5,2,110.7380221855086,1,110.7380221855086
32,32,11,101547.0,16909.0,228798.0,4196.0,5,3,54.5276453765491,1,54.52764537654912
33,33,11,101547.0,16909.0,185103.0,4397.0,5,4,42.09756652262906,1,42.09756652262906
34,34,11,101547.0,16909.0,122472.0,3927.0,5,5,31.187165775401073,1,31.18716577540107
35,35,11,101547.0,16909.0,101454.0,3944.0,5,6,25.723630831643003,1,25.723630831643
36,36,19,108271.25,26317.5,1127031.0,3719.0,6,2,303.04678677063725,1,303.04678677063725
37,37,19,108271.25,26317.5,382842.0,3758.0,6,3,101.87386907929749,1,101.87386907929749
38,38,19,108271.25,26317.5,272391.0,3249.0,6,4,83.83841181902123,1,83.83841181902123
39,39,19,108271.25,26317.5,201405.0,3908.0,6,5,51.53659160696008,1,51.53659160696009
40,40,19,108271.25,26317.5,168072.0,4279.0,6,6,39.27833605982706,1,39.27833605982707
41,41,19,108271.25,26317.5,157905.0,4093.0,6,7,38.57928170046421,1,38.57928170046421
42,42,21,42035.08333,10563.5,459765.0,1359.0,7,9,338.31125827814566,0,154.57768407196812
43,43,21,42035.08333,10563.5,375912.0,3465.0,7,10,108.4883116883117,1,108.4883116883117
44,44,21,42035.08333,10563.5,211782.0,3394.0,7,11,62.39893930465527,1,62.39893930465527
45,45,21,42035.08333,10563.5,147180.0,3477.0,7,12,42.32959447799828,1,42.32959447799828
46,46,21,42035.08333,10563.5,95922.0,3719.0,7,13,25.79241731648293,1,25.792417316482926
47,47,21,42035.08333,10563.5,63381.0,3618.0,7,14,17.518242122719734,1,17.518242122719734
48,48,22,58650.91667000001,11710.5,703476.0,2228.0,8,9,315.74326750448836,1,315.74326750448836
49,49,22,58650.91667000001,11710.5,411858.0,3408.0,8,10,120.85035211267606,1,120.85035211267606
50,50,22,58650.91667000001,11710.5,323190.0,3305.0,8,11,97.78819969742813,1,97.78819969742813
51,51,22,58650.91667000001,11710.5,169002.0,3968.0,8,12,42.59122983870968,1,42.591229838709694
52,52,22,58650.91667000001,11710.5,119613.0,3763.0,8,13,31.786606431039065,1,31.78660643103906
53,53,22,58650.91667000001,11710.5,70263.0,3619.0,8,14,19.415031776733905,1,19.415031776733898
54,54,23,91517.66667,18253.0,1217430.0,2511.0,9,7,484.8387096774193,0,162.36119870627434
55,55,23,91517.66667,18253.0,471306.0,4325.0,9,8,108.97248554913295,1,108.97248554913295
56,56,23,91517.66667,18253.0,210996.0,3796.0,9,9,55.583772391991566,1,55.58377239199156
57,57,23,91517.66667,18253.0,155466.0,2555.0,9,10,60.84774951076321,1,60.84774951076321
58,58,23,91517.66667,18253.0,140451.0,1440.0,9,11,97.53541666666666,0,66.11172662953484
59,59,23,91517.66667,18253.0,109518.0,1679.0,9,12,65.22811197141154,0,71.37570374830649
60,60,25,110565.1667,49280.5,879204.0,3572.0,10,3,246.1377379619261,1,246.1377379619261
61,61,25,110565.1667,49280.5,587538.0,4205.0,10,4,139.72366230677764,1,139.72366230677764
62,62,25,110565.1667,49280.5,414480.0,4176.0,10,5,99.2528735632184,1,99.2528735632184
63,63,25,110565.1667,49280.5,331833.0,4179.0,10,6,79.4048815506102,1,79.4048815506102
64,64,25,110565.1667,49280.5,315555.0,4354.0,10,7,72.47473587505742,1,72.47473587505742
65,65,25,110565.1667,49280.5,295683.0,4286.0,10,8,68.98810079328045,1,68.98810079328045
66,66,27,62855.41667000001,21165.5,607359.0,3380.0,11,3,179.69201183431954,1,179.69201183431954
67,67,27,62855.41667000001,21165.5,304887.0,4047.0,11,4,75.33654558932542,1,75.33654558932542
68,68,27,62855.41667000001,21165.5,173019.0,4146.0,11,5,41.7315484804631,1,41.731548480463104
69,69,27,62855.41667000001,21165.5,169137.0,4193.0,11,6,40.33794419270213,1,40.33794419270213
70,70,27,62855.41667000001,21165.5,129810.0,4309.0,11,7,30.12531909955906,1,30.125319099559064
71,71,27,62855.41667000001,21165.5,126993.0,4251.0,11,8,29.873676781933664,1,29.873676781933664
72,72,29,93870.16667,35111.5,799197.0,3251.0,12,3,245.8311288834205,1,245.8311288834205
73,73,29,93870.16667,35111.5,525093.0,4183.0,12,4,125.53024145350227,1,125.53024145350227
74,74,29,93870.16667,35111.5,336390.0,4142.0,12,5,81.2143891839691,1,81.2143891839691
75,75,29,93870.16667,35111.5,288435.0,4092.0,12,6,70.48753665689149,1,70.48753665689149
