,No,Y_t,J_t,ID index,time,X_t,normal,Interpolated X_t,J_t_pred
0,1,418395.0,2026.0,0,2,206.5128331688055,1,206.5128331688055,2084.3
1,1,352095.0,2018.0,0,3,174.47720515361743,1,174.47720515361743,2084.3
2,1,260865.0,1983.0,0,4,131.55068078668685,1,131.55068078668685,2084.3
3,1,226581.0,2165.0,0,5,104.65635103926095,1,104.65635103926095,2084.3
4,1,187083.0,2121.0,0,6,88.2050919377652,1,88.20509193776518,2084.3
5,1,171573.0,2039.0,0,7,84.145659637077,1,84.145659637077,2084.3
6,1,158340.0,2206.0,0,8,71.77697189483227,1,71.7769718948323,2084.3
7,1,138864.0,2202.0,0,9,63.062670299727536,1,63.062670299727536,2084.3
8,1,128325.0,2147.0,0,10,59.769445738239405,1,59.769445738239405,2084.3
9,1,125439.0,1936.0,0,11,64.79287190082644,1,64.79287190082644,2084.3
10,1,135825.0,1727.0,0,12,78.64794441227563,1,78.64794441227563,2084.3
11,1,107850.0,2189.0,0,13,49.26907263590681,1,49.26907263590681,2084.3
12,3,388623.0,1377.0,1,2,282.2244008714597,1,282.2244008714597,2043.1
13,3,385677.0,2038.0,1,3,189.2428851815505,1,189.2428851815505,2043.1
14,3,296070.0,2057.0,1,4,143.93291200777833,1,143.93291200777833,2043.1
15,3,235476.0,2120.0,1,5,111.07358490566038,1,111.07358490566038,2043.1
16,3,198243.0,2134.0,1,6,92.89737582005623,1,92.89737582005623,2043.1
17,3,170568.0,2169.0,1,7,78.6390041493776,1,78.6390041493776,2043.1
18,3,146442.0,2107.0,1,8,69.50261034646418,1,69.50261034646418,2043.1
19,3,126732.0,2207.0,1,9,57.422745808790204,1,57.422745808790204,2043.1
20,3,104511.0,2140.0,1,10,48.836915887850466,1,48.836915887850466,2043.1
21,3,97971.0,2082.0,1,11,47.05619596541787,1,47.05619596541787,2043.1
22,3,86910.0,1473.0,1,12,59.002036659877795,1,59.002036659877795,2043.1
23,3,85182.0,2188.0,1,13,38.93144424131628,1,38.93144424131626,2043.1
24,5,582804.0,1788.0,2,2,325.95302013422815,1,325.95302013422815,1820.8
25,5,274413.0,1161.0,2,3,236.359173126615,1,236.359173126615,1820.8
26,5,213582.0,2015.0,2,4,105.99602977667494,1,105.99602977667496,1820.8
27,5,175071.0,2152.0,2,5,81.35269516728623,1,81.35269516728623,1820.8
28,5,124890.0,2115.0,2,6,59.04964539007092,1,59.04964539007091,1820.8
29,5,103629.0,2089.0,2,7,49.60698898994735,1,49.60698898994735,1820.8
30,5,60717.0,1277.0,2,8,47.546593578700076,1,47.546593578700076,1820.8
31,5,33774.0,1609.0,2,9,20.99067743940336,1,20.99067743940336,1820.8
32,5,63399.0,2111.0,2,10,30.032685930838465,1,30.032685930838472,1820.8
33,5,75384.0,1891.0,2,11,39.86462189317821,1,39.86462189317821,1820.8
34,5,83472.0,1916.0,2,12,43.56576200417537,1,43.56576200417537,1820.8
35,5,77037.0,2191.0,2,13,35.16065723413966,1,35.16065723413966,1820.8
36,7,427044.0,1572.0,3,2,271.6564885496183,1,271.6564885496183,1869.3
37,7,285276.0,2039.0,3,3,139.90975968612065,1,139.90975968612065,1869.3
38,7,162414.0,1991.0,3,4,81.57408337518834,1,81.57408337518834,1869.3
39,7,151902.0,2162.0,3,5,70.25994449583719,1,70.25994449583719,1869.3
40,7,114732.0,2116.0,3,6,54.221172022684314,1,54.221172022684314,1869.3
41,7,112014.0,1715.0,3,7,65.31428571428572,1,65.31428571428572,1869.3
42,7,78438.0,1348.0,3,8,58.18842729970326,1,58.18842729970326,1869.3
43,7,60495.0,1751.0,3,9,34.54882924043404,1,34.54882924043403,1869.3
44,7,71274.0,2151.0,3,10,33.13528591352859,1,33.13528591352859,1869.3
45,7,72438.0,1848.0,3,11,39.19805194805196,1,39.19805194805196,1869.3
46,7,77457.0,1645.0,3,12,47.08632218844985,1,47.08632218844985,1869.3
